Name,Year,Nation,Range,len_name
빌리 엘리어트,2000,미국,"가족,드라마",7
플란다스의 개,2000,한국,"드라마,코미디",7
시월애,2000,한국,"멜로/로맨스,판타지",3
뉴욕의 가을,2000,미국,"드라마,멜로/로맨스",6
어둠속의 댄서,2000,덴마크,드라마,7
가이아 걸즈,2000,"영국,일본",다큐멘터리,6
흔적없는 비행,2000,"멕시코,스페인",드라마,7
그랜드마,2000,한국,"애니메이션,판타지",4
이삭줍는 사람들과 나,2000,프랑스,다큐멘터리,11
상실의 시대,2000,캐나다,"멜로/로맨스,드라마",6
상식,2000,한국,,2
내가 속한 나라,2000,독일,드라마,8
