년,지점,강수량(mm)
2000,159,1248.5
2001,159,1171.3
2002,159,2085.2
2003,159,2328.3
2004,159,1386.5
2005,159,1383.9
2006,159,1528.3
2007,159,1276.5
2008,159,1168.3
2009,159,1772.9
2010,159,1441.9
2011,159,1478.6
2012,159,1983.3
2013,159,1130.1
2014,159,1693.1
2015,159,1396.7
2016,159,1760.2
